Date,Open,High,Low,Close,Adj Close,Volume
2021-01-22,7.941948,7.963014,7.696176,7.878749,7.876562,7386658
2021-01-25,8.005146,8.145588,7.689154,8.145588,8.143327,8169527
2021-01-26,8.131543,8.131543,7.864705,8.075367,8.073125,5904614
2021-01-27,8.040257,8.047279,7.583823,7.654043,7.651918,6837524
2021-01-28,7.450404,8.117499,7.078235,7.941948,7.939743,11414914
2021-01-29,7.794485,8.040257,7.724264,7.822573,7.820401,5140921
2021-02-01,7.885771,8.602021,7.801507,8.602021,8.599633,19732802
2021-02-02,8.531801,8.833749,8.187720,8.328161,8.325849,25752390
2021-02-03,8.377315,8.496690,8.089411,8.349227,8.346909,7673113
2021-02-04,8.552867,8.918014,8.328161,8.419448,8.417110,22711793
2021-02-05,8.482646,8.602021,8.300073,8.314117,8.311810,7420850
2021-02-08,8.363271,8.426470,7.984080,8.047279,8.045045,8863704
2021-02-09,8.040257,8.293051,7.815551,8.019191,8.016964,10845359
2021-02-10,8.145588,8.412426,8.082389,8.257941,8.255649,8379252
2021-02-11,8.264963,8.307095,8.110477,8.138566,8.136307,4786986
2021-02-12,8.145588,8.489668,7.991102,8.215808,8.213527,11556774
2021-02-15,8.215808,8.974190,8.145588,8.686286,8.683874,38253646
2021-02-16,8.714374,8.833749,8.279007,8.398382,8.396050,12342270
2021-02-17,8.419448,8.812683,8.356249,8.672242,8.669834,14088838
2021-02-18,8.777573,8.875882,8.447536,8.580955,8.578572,8295793
2021-02-19,8.602021,9.128676,8.482646,8.791617,8.789177,16290585
2021-02-22,8.946102,8.967168,8.566911,8.609043,8.606653,7762153
2021-02-23,8.679264,8.686286,8.166654,8.201764,8.199487,6311802
2021-02-24,8.145588,8.454558,7.963014,8.124521,8.122266,6162708
2021-02-25,8.229852,8.335183,7.822573,8.068345,8.066105,6644611
2021-02-26,7.604889,8.250918,7.597867,8.180698,8.178427,5827664
2021-03-01,8.314117,8.594999,8.314117,8.566911,8.564532,5959698
2021-03-02,8.559889,8.819705,8.391360,8.686286,8.683874,9714700
